代码,名称,涨跌幅度,前收盘,最高,最低,收盘,振荡幅度,成交量,总金额,市场比%%,换手率%%,5日量变%%
300234,开尔新材,13.04,20.78,25.38,13.18,23.49,92.56,   9.02亿, 179.0亿,0.02,638.16,-60.94
600621,华鑫股份,12.94,13.21,18.18,8.82,14.92,106.12,  25.18亿, 298.6亿,0.06,480.55,130.57
300143,星河生物,12.94,27.27,32.03,16.37,30.8,95.66,   7.41亿, 180.9亿,0.02,699.27,-77
002256,兆新股份,12.86,5.83,8.99,3.2,6.58,180.94,  64.39亿,  1205亿,0.15,513.75,25.37
000911,南宁糖业,12.86,18.58,28.6,11.9,20.97,140.34,  21.37亿, 431.6亿,0.05,659.46,42.91
600444,国机通用,12.86,19.75,25.3,15.43,22.29,63.97,   4.38亿,  89.5亿,0.02,416.76,22.18
300218,安利股份,12.84,15.26,26.2,10.18,17.22,157.37,  18.55亿, 330.2亿,0.04,1100.93,53.47
600802,福建水泥,12.83,8.42,11.9,6.34,9.5,87.7,  24.15亿, 212.0亿,0.04,632.33,-52.25
002458,益生股份,12.79,34,55.9,27.82,38.35,100.93,   8.10亿, 337.8亿,0.04,509.78,-41.33
300230,永利股份,12.76,29.71,40.29,19.9,33.5,102.46,   7.10亿, 212.2亿,0.03,671.8,-57.78
300035,中科电气,12.71,13.85,19.72,9.08,15.61,117.18,  17.00亿, 256.4亿,0.03,914.19,-14.52
300175,朗源股份,12.67,12.31,15.09,6.53,13.87,131.09,  30.96亿, 331.7亿,0.04,670.69,-61.7
000089,深圳机场,12.67,7.97,9.7,6.29,8.98,54.21,  28.01亿, 230.4亿,0.03,136.57,-46.23
600036,招商银行,12.61,16.42,19.2,13.35,18.49,43.82,  78.21亿,  1339亿,0.25,37.91,-16.16
600278,东方创业,12.59,17.08,24.66,11.11,19.23,121.96,  17.24亿, 291.8亿,0.06,330.1,-64.48
600201,生物股份,12.53,31.04,38.1,23.3,34.93,63.52,  13.09亿, 397.4亿,0.08,230,48.91
600333,长春燃气,12.42,7.57,11.61,5.76,8.51,101.56,  27.26亿, 244.2亿,0.05,514.77,-42.89
600880,博瑞传播,12.32,7.47,11.64,7.4,8.39,57.3,  55.53亿, 520.4亿,0.1,758.52,-44.3
600276,恒瑞医药,12.29,41.89,47.44,34.69,47.04,36.75,  13.67亿, 625.2亿,0.12,58.35,-38.39
300138,晨光生物,12.29,16.03,20.15,11.3,18,78.32,   9.74亿, 172.9亿,0.02,573.25,-53.63
603006,联明股份,12.27,24.36,33.2,16.15,27.35,105.57,   6.70亿, 215.9亿,0.04,973.02,7.29
300176,鸿特精密,12.26,27,37.03,17.56,30.31,110.88,   6.00亿, 175.5亿,0.02,561.3,-32.45
603788,宁波高发,12.25,39.6,50.8,23.62,44.45,115.07,   5.65亿, 225.2亿,0.04,1152.24,-64.34
600377,宁沪高速,12.23,8.01,9.39,6.78,8.99,38.5,  13.16亿, 112.1亿,0.02,34.65,-39.09
002299,圣农发展,12.21,20.56,31.5,16.33,23.07,92.9,  20.63亿, 507.8亿,0.06,229.16,-49.42
000820,金城股份,12.2,23.45,29.58,9.35,26.31,216.36,  20.05亿, 350.3亿,0.04,907.87,-74.07
600350,山东高速,12.19,6.07,7.4,4.32,6.81,71.3,  26.63亿, 158.0亿,0.03,55.35,70.02
002617,露笑科技,12.19,13.62,18.29,10.93,15.28,67.34,  11.14亿, 246.0亿,0.03,198.69,-82.7
002165,红 宝 丽,12.03,7.65,9.95,5.85,8.57,70.09,  30.27亿, 252.5亿,0.03,573.75,-50.45
000860,顺鑫农业,11.96,18.15,25.53,17.18,20.32,48.6,  27.06亿, 581.6亿,0.07,480.65,-40.48
000531,穗恒运Ａ,11.9,10.25,13.7,7.9,11.47,73.42,  13.80亿, 154.0亿,0.02,201.49,-64.75
000752,西藏发展,11.81,16.26,20.43,11.19,18.18,82.57,  19.49亿, 325.0亿,0.04,739.07,-73.54
601166,兴业银行,11.8,15.09,17.29,13.16,16.87,31.38,  144.9亿,  2303亿,0.44,76.06,-40.61
002101,广东鸿图,11.79,22.05,28.98,16.51,24.65,75.53,   7.67亿, 188.3亿,0.02,309.41,-37.59
300088,长信科技,11.74,14.14,17.14,8.91,15.8,92.37,  87.75亿,  1186亿,0.14,798.2,-29.42
600004,白云机场,11.64,13.14,15.35,10.83,14.67,41.74,  16.55亿, 217.4亿,0.04,143.9,-6.41
600736,苏州高新,11.6,8.1,11.9,7.9,9.04,50.63,  37.50亿, 353.2亿,0.07,329.25,-76.39
600408,安泰集团,11.55,4.76,6.45,3.85,5.31,67.53,  35.42亿, 192.4亿,0.04,351.81,-8.53
002033,丽江旅游,11.54,14.12,18.66,11.26,15.75,65.72,  27.64亿, 396.2亿,0.05,653.81,-36.81
600213,亚星客车,11.52,13.46,17.13,8.3,15.01,106.39,  15.75亿, 200.4亿,0.04,716.01,-38.7
603611,诺力股份,11.45,31.97,42.13,21.3,35.63,97.79,   5.84亿, 191.1亿,0.04,627.41,-52.29
300420,五洋科技,11.41,22.78,30.22,13.73,25.38,120.1,   5.89亿, 214.3亿,0.03,671.29,95.48
002726,龙大肉食,11.32,14.84,18.49,9.53,16.52,94.02,  19.43亿, 286.1亿,0.03,1790.7,-66.23
000821,京山轻机,11.31,14.59,18.84,11.67,16.24,61.44,  20.23亿, 308.6亿,0.04,585.93,-40.32
601799,星宇股份,11.3,34.51,49.2,21.83,38.41,125.38,   7.06亿, 263.1亿,0.05,294.41,-74.76
300066,三川智慧,11.3,6.55,10.28,5.43,7.29,89.32,  63.86亿, 698.0亿,0.08,680.48,-35.55
002451,摩恩电气,11.28,12.68,18.45,9.04,14.11,104.09,  25.97亿, 324.1亿,0.04,630.07,19.67
300173,智慧松德,11.27,17.12,21.39,11.15,19.05,91.84,   8.59亿, 140.0亿,0.02,274.64,-80.61
000401,冀东水泥,11.26,11.28,13.2,8.3,12.55,59.04,  33.28亿, 359.0亿,0.04,247.04,-23.5
002202,金风科技,11.22,16.75,26.72,13.58,18.63,96.76,  88.98亿,  1604亿,0.19,412.41,-41.58
600050,中国联通,11.22,6.15,7.37,3.69,6.84,99.73,  298.1亿,  1496亿,0.28,140.62,374.8
600741,华域汽车,11.21,15.26,17.69,11.53,16.97,53.43,  30.86亿, 478.5亿,0.09,119.45,-16.41
002734,利民股份,11.19,31.91,39.92,22.8,35.48,75.09,   8.29亿, 261.3亿,0.03,1057.14,-23.96
000780,平庄能源,11.17,5.55,7.93,4.11,6.17,92.94,  61.04亿, 353.2亿,0.04,601.77,28.23
600311,荣华实业,11.15,6.46,7.79,4.55,7.18,71.21,  43.60亿, 284.9亿,0.05,655.03,-49.18
600666,奥瑞德,11.14,26.03,49.95,26.4,28.93,89.2,  21.06亿, 685.0亿,0.13,423.95,280.81
601333,广深铁路,11.14,4.49,5.24,3.17,4.99,65.3,  79.85亿, 339.3亿,0.06,141.27,95.95
000505,*ST珠江,11.1,10.54,13.55,6.08,11.71,122.86,  16.05亿, 153.8亿,0.02,445.35,-45.42
300477,合纵科技,11.09,22.36,30.56,14.24,24.84,114.61,   7.81亿, 303.6亿,0.04,648.73,14.68
000949,新乡化纤,11.07,5.06,5.99,3.64,5.62,64.56,  45.31亿, 208.2亿,0.03,441.28,-59.86
002755,东方新星,11.05,39.63,70.68,28.72,44.01,146.1,   8.11亿, 362.6亿,0.04,2306.72,-19.45
601666,平煤股份,11.02,4.72,5.99,3.75,5.24,59.73,  53.76亿, 249.9亿,0.05,227.67,14.15
601225,陕西煤业,11,4.91,7.02,3.6,5.45,95,  88.95亿, 478.4亿,0.09,328.23,40.72
600897,厦门空港,10.93,21.23,24.39,16.53,23.55,47.55,   4.94亿, 104.9亿,0.02,165.79,-54.58
002079,苏州固锝,10.9,9.08,12.48,5.86,10.07,112.97,  66.28亿, 657.1亿,0.08,912.94,-72.85
002207,准油股份,10.87,17.39,28.96,16.8,19.28,72.38,  10.33亿, 243.5亿,0.03,584.99,132.76
600429,三元股份,10.84,7.29,8.98,6.11,8.08,46.97,  18.65亿, 147.8亿,0.03,210.77,-17.35
002684,猛狮科技,10.81,28.85,35.88,21,31.97,70.86,  12.56亿, 374.6亿,0.05,602.45,-78.52
300087,荃银高科,10.81,11.47,13.98,8.02,12.71,74.31,  16.42亿, 185.1亿,0.02,636.89,-48.62
000766,通化金马,10.8,16.57,24.99,11.41,18.36,119.02,  16.71亿, 313.0亿,0.04,372.22,-78.2
600060,海信电器,10.73,16.4,21.65,12.09,18.16,79.07,  42.68亿, 730.7亿,0.14,326.2,-5.73
002591,恒大高新,10.73,14.17,20.5,10.57,15.69,93.95,   6.70亿, 101.9亿,0.01,400.11,-63.56
002654,万润科技,10.7,11.68,18.69,10.32,12.93,81.1,  34.24亿, 700.6亿,0.08,878.24,113.28
002200,云投生态,10.66,19.99,28.17,15.21,22.12,85.21,  11.47亿, 252.8亿,0.03,1063.47,-33.45
300198,纳川股份,10.61,5.75,8.31,4.45,6.36,86.74,  31.51亿, 420.7亿,0.05,416.63,-27.65
000022,深赤湾Ａ,10.56,17.9,21.56,11.69,19.79,84.43,   9.77亿, 169.6亿,0.02,210.11,215.72
002112,三变科技,10.52,19.11,28.3,16.59,21.12,70.58,  17.15亿, 371.9亿,0.04,938.89,-85.32
300014,亿纬锂能,10.48,28.16,52.16,17.6,31.11,196.36,  50.20亿,  1667亿,0.2,1225.47,-76.06
600699,均胜电子,10.43,31.25,40.87,25.28,34.51,61.67,  23.84亿, 837.8亿,0.16,345.88,-63.74
000011,深物业A,10.43,14.77,20.25,8.55,16.31,136.84,  35.12亿, 530.2亿,0.06,1996.88,-56.19
600658,电子城,10.4,12.12,14.63,8.25,13.38,77.33,  15.87亿, 184.2亿,0.04,273.57,-82.42
002703,浙江世宝,10.32,35.77,53.03,18.86,39.46,181.18,  22.66亿, 849.4亿,0.1,1635.63,790.7
600107,美尔雅,10.23,17.59,22.5,14.61,19.39,54,  13.91亿, 265.9亿,0.05,386.25,-38.15
600753,东方银星,10.19,31.29,42.1,23.43,34.48,79.68,   6.38亿, 202.1亿,0.04,498.33,-36.7
603009,北特科技,10.14,39.74,54.2,26.95,43.77,101.11,   3.86亿, 147.0亿,0.03,1112.49,-37.18
002304,洋河股份,10.09,63.2,79.97,54.76,69.58,46.04,   6.84亿, 467.3亿,0.06,55.53,49.14
600146,商赢环球,10.09,30.53,37.1,16.1,33.61,130.43,  12.02亿, 328.5亿,0.06,600.9,-70.97
300260,新莱应材,10.02,31.43,39.47,20.4,34.58,93.48,   3.24亿, 100.2亿,0.01,648.84,-37.69
600602,云赛智联,10,9.2,13.41,7.96,10.12,68.47,  42.22亿, 451.6亿,0.09,480,-60.46
600690,青岛海尔,9.99,9.71,11.33,7.03,10.68,61.17,  66.34亿, 624.8亿,0.12,120.8,90.03
600348,阳泉煤业,9.98,6.61,8.81,5.46,7.27,61.36,  89.61亿, 625.0亿,0.12,372.6,75.42
000702,正虹科技,9.78,12.58,17.12,8.85,13.81,93.45,  16.67亿, 224.3亿,0.03,625.04,-54.97
000839,中信国安,9.77,9.31,13.36,4.54,10.22,194.27,  276.9亿,  4037亿,0.49,706.66,14.51
002286,保龄宝,9.76,14.44,18.3,11.46,15.85,59.69,  18.42亿, 277.5亿,0.03,705.8,-61.25
601677,明泰铝业,9.76,14.34,18.92,11.39,15.74,66.11,   9.20亿, 137.7亿,0.03,225.58,-33.73
601801,皖新传媒,9.76,16.8,19,9.78,18.44,94.27,  23.27亿, 410.2亿,0.08,127.85,204.3
600272,开开实业,9.75,17.75,23.92,11.36,19.48,110.56,  12.33亿, 223.8亿,0.04,770.68,-49.49
600838,上海九百,9.72,14.61,20.31,9.45,16.03,114.92,  55.79亿, 827.3亿,0.16,1391.8,-45
600975,新五丰,9.71,8.14,10.87,4.51,8.93,141.02,  47.72亿, 533.3亿,0.1,1018.17,-32.46
600523,贵航股份,9.51,20.92,25,13.46,22.91,85.74,  13.67亿, 260.9亿,0.05,473.52,-26.62
300201,海伦哲,9.4,7.34,9.64,4.81,8.03,100.42,  28.35亿, 400.7亿,0.05,332.18,-29.92
002421,达实智能,9.4,6.49,8.76,4.02,7.1,117.91,  39.72亿, 609.8亿,0.07,288.59,-22.92
600145,*ST新亿,9.36,1.71,1.87,1.7,1.87,10,   1.33亿,  9.49亿,0,8.89,-3.6
000571,新大洲Ａ,9.33,8.25,9.94,5.58,9.02,78.14,  24.02亿, 198.7亿,0.02,326.56,-79.26
600751,天海投资,9.33,9.65,11.25,5.3,10.55,112.26,  36.43亿, 332.7亿,0.06,184.79,66.43
300084,海默科技,9.3,11.07,14.39,7.31,12.1,96.85,  24.28亿, 272.1亿,0.03,972.03,-45.62
002081,金 螳 螂,9.3,10.86,13.19,7.49,11.87,76.1,  65.97亿, 860.6亿,0.1,261.93,-1.3
002056,横店东磁,9.29,13.02,18.1,8.66,14.23,109.01,  43.52亿, 772.0亿,0.09,529.68,-43.66
600202,哈空调,9.27,10.79,15.1,8.66,11.79,74.36,  33.76亿, 405.0亿,0.08,880.75,-79.37
601607,上海医药,9.23,18.42,21.42,14.28,20.12,50,  25.82亿, 485.6亿,0.09,134.29,3.07
000603,盛达矿业,9.2,16.3,26.58,12.55,17.8,111.79,  33.96亿, 656.6亿,0.08,877.32,3.05
000759,中百集团,9.16,7.75,9.29,6,8.46,54.83,  11.22亿,  85.2亿,0.01,164.79,-73.63
601288,农业银行,9.15,2.95,3.29,2.68,3.22,22.76,  329.4亿,  1040亿,0.2,11.2,-10.48
000609,绵石投资,9.1,14.07,19.73,9,15.35,119.22,  15.37亿, 210.3亿,0.03,576.91,148.96
600892,大晟文化,9.07,71.8,91.8,37.86,78.31,142.47,   2.08亿, 128.1亿,0.02,330.76,-62.07
600605,汇通能源,9.04,21.24,27.96,14.48,23.16,93.09,   7.34亿, 152.0亿,0.03,497.98,-30.76
600155,宝硕股份,8.95,14.98,18.52,10.01,16.32,85.01,  28.77亿, 409.6亿,0.08,697.44,-33.59
002553,南方轴承,8.89,12.26,15.9,7.77,13.35,104.63,  18.82亿, 236.9亿,0.03,852.77,-73.3
000028,国药一致,8.88,65.85,75.8,59.03,71.7,28.41,   3.01亿, 204.5亿,0.02,128.96,-70.05
600173,卧龙地产,8.88,7.66,10.73,5.77,8.34,85.96,  17.68亿, 146.0亿,0.03,243.88,-13.33
000038,深大通,8.86,47.5,65.01,44.02,51.71,47.68,   4.82亿, 259.4亿,0.03,1277.4,-72.12
300091,金通灵,8.81,13.39,16.31,8.91,14.57,83.05,  10.78亿, 214.0亿,0.03,298.51,5.03
000550,江铃汽车,8.81,27.37,32.88,21.98,29.78,49.59,   5.73亿, 154.6亿,0.02,110.7,-29.02
600508,上海能源,8.77,10.03,12.18,8.35,10.91,45.87,  19.40亿, 193.9亿,0.04,268.46,-31.62
002490,山东墨龙,8.69,10.24,13.55,6.84,11.13,98.1,  46.48亿, 469.9亿,0.06,1549.52,-4.19
002283,天润曲轴,8.69,10.13,11.76,6,11.01,96,  25.65亿, 319.8亿,0.04,229.04,218.14
300389,艾比森,8.67,21.23,27.47,13.36,23.07,105.61,   6.36亿, 204.4亿,0.02,687.03,-68.89
300450,先导智能,8.66,31.28,47.56,22.61,33.99,110.35,   9.97亿, 528.0亿,0.06,589.87,88.31
000885,同力水泥,8.66,15.24,23.06,10.69,16.56,115.72,  18.38亿, 281.5亿,0.03,430.55,-14.64
000655,金岭矿业,8.63,8.57,11.2,6.02,9.31,86.05,  46.24亿, 395.9亿,0.05,776.64,91.3
600507,方大特钢,8.62,6.15,7.19,4.08,6.68,76.23,  30.38亿, 173.6亿,0.03,229.13,-5.45
600305,恒顺醋业,8.61,10.68,13.18,8.21,11.6,60.54,  12.68亿, 203.7亿,0.04,210.32,-18.43
300068,南都电源,8.59,18.5,26.91,12.65,20.09,112.73,  39.40亿, 767.7亿,0.09,678.06,-76.48
002314,南山控股,8.57,8.87,10.43,5.12,9.63,103.71,  24.21亿, 206.0亿,0.02,328.19,148.33
300118,东方日升,8.57,14.59,20.49,10.38,15.84,97.4,  49.76亿, 815.4亿,0.1,1063.71,-75.12
600721,*ST百花,8.49,16.73,21,13.03,18.15,61.17,   4.36亿,  77.4亿,0.01,175.52,-94.36
600426,华鲁恒升,8.47,10.62,12.32,7.48,11.52,64.71,  24.51亿, 284.5亿,0.05,197.69,-31.52
000888,峨眉山Ａ,8.43,11.98,16.11,10.86,12.99,48.34,  13.95亿, 181.6亿,0.02,264.84,-43.88
600864,哈投股份,8.35,10.78,15.2,9.9,11.68,53.54,  22.80亿, 272.6亿,0.05,417.36,28.27
603609,禾丰牧业,8.31,12.76,18.37,8.82,13.82,108.28,  14.64亿, 208.3亿,0.04,349.98,-46.8
300285,国瓷材料,8.31,36.48,46.47,25.5,39.51,82.24,   5.43亿, 196.2亿,0.02,263.26,-27.91
600080,金花股份,8.27,11.85,15.15,8.22,12.83,84.31,  19.59亿, 230.4亿,0.04,641.81,-77.03
300185,通裕重工,8.25,3.03,4.53,1.95,3.28,132.31,  110.3亿, 670.4亿,0.08,406.66,105.93
000970,中科三环,8.24,14.32,17.9,9.06,15.5,97.57,  108.8亿,  1581亿,0.19,1021.58,-20.7
002444,巨星科技,8.24,16.63,22.26,12.46,18,78.65,  45.52亿, 844.0亿,0.1,488.74,3.62
002590,万安科技,8.23,20.66,34.43,12.91,22.36,166.69,  33.67亿, 838.5亿,0.1,930.91,-85.6
600694,大商股份,8.23,43.4,63.44,31.61,46.97,100.7,  15.47亿, 671.4亿,0.13,526.67,-46.89
002088,鲁阳节能,8.2,16.59,20.58,10.97,17.95,87.6,   9.53亿, 149.3亿,0.02,696.34,-45.85
300331,苏大维格,8.1,25.67,41,22.82,27.75,79.67,  13.44亿, 431.6亿,0.05,1037.26,-75.11
601113,华鼎股份,8.1,9.51,12.75,6.72,10.28,89.73,  11.90亿, 118.6亿,0.02,185.87,-72
002403,爱仕达,8.06,14.4,17.25,9.82,15.56,75.66,  13.83亿, 198.6亿,0.02,478.33,-60.74
601318,中国平安,8.04,33.57,37.37,27.26,36.27,37.09,  112.9亿,  3742亿,0.71,104.25,-43.06
000672,上峰水泥,7.94,8.31,9.46,5.3,8.97,78.49,  33.21亿, 237.9亿,0.03,408.22,203.12
600119,长江投资,7.94,19.9,29.25,12.52,21.48,133.63,  29.21亿, 596.5亿,0.11,950.26,-67.74
000581,威孚高科,7.91,23.27,25.71,15.15,25.11,69.7,  24.85亿, 522.5亿,0.06,297.1,-23.92
600559,老白干酒,7.87,21.74,29.8,16.57,23.45,79.84,  10.64亿, 357.2亿,0.07,304.1,46.01
600228,昌九生化,7.77,13.39,17.11,9.61,14.43,78.04,  10.89亿, 148.5亿,0.03,451.37,27.97
600197,伊力特,7.67,13.43,18.5,9.24,14.46,100.22,  25.10亿, 361.9亿,0.07,569.16,-64.29
600766,园城黄金,7.65,15.43,21.59,13.03,16.61,65.69,  19.99亿, 323.2亿,0.06,892.62,-9.03
600749,西藏旅游,7.62,23.62,26.88,17.5,25.42,53.6,  12.68亿, 269.8亿,0.05,670.4,-76.86
002272,川润股份,7.61,9.46,11.75,6.9,10.18,70.29,  26.71亿, 250.4亿,0.03,854.7,-63.42
300445,康斯特,7.6,29.22,41,16.21,31.44,152.93,   6.07亿, 209.1亿,0.03,1488.84,177.9
601139,深圳燃气,7.59,8.83,10.1,6.97,9.5,44.91,  12.80亿, 109.8亿,0.02,58.66,-66.65
300246,宝莱特,7.59,33.88,44.58,19.51,36.45,128.5,  12.09亿, 399.8亿,0.05,1122.12,-87.6
300095,华伍股份,7.56,13.75,15.75,8.5,14.79,85.29,  16.85亿, 209.1亿,0.03,721.27,-58.85
000993,闽东电力,7.53,9.83,11.94,7,10.57,70.57,  20.51亿, 195.8亿,0.02,549.92,-46.89
000585,东北电气,7.53,7.44,8.75,5.15,8,69.9,  29.95亿, 210.0亿,0.03,491.51,-77.69
300125,易世达,7.5,28.14,35.85,19.2,30.25,86.72,   3.93亿, 107.3亿,0.01,446.22,-66.33
600867,通化东宝,7.47,21.03,24.32,18.16,22.6,33.92,  13.80亿, 325.7亿,0.06,101.2,-65.03
002622,融钰集团,7.44,12.64,15.3,8.25,13.58,85.45,  42.23亿, 616.5亿,0.07,583.71,209.93
000421,南京公用,7.42,8.89,11.26,6.25,9.55,80.16,  21.33亿, 201.7亿,0.02,543.66,-40.59
600356,恒丰纸业,7.38,11.38,13.35,8.11,12.22,64.61,  12.12亿, 135.8亿,0.03,405.6,-60.71
002243,通产丽星,7.35,13.2,19.83,9.88,14.17,100.71,  23.05亿, 316.2亿,0.04,631.64,-68.26
000593,大通燃气,7.3,11.1,15.08,8.6,11.91,75.35,  23.65亿, 296.1亿,0.04,1059.5,-45.89
600101,明星电力,7.26,11.84,17.5,8.72,12.7,100.69,  37.41亿, 463.3亿,0.09,1153.88,-53.01
300281,金明精机,7.25,17.79,22.17,10.45,19.08,112.15,  10.25亿, 156.3亿,0.02,723.75,-74.78
600062,华润双鹤,7.19,21.84,24.1,15.32,23.41,57.31,  13.60亿, 266.8亿,0.05,237.92,-38.48
600235,民丰特纸,7.17,10.88,15.86,8.5,11.66,86.59,  21.75亿, 270.2亿,0.05,619.02,-54.64
002715,登云股份,7.14,33.88,42,23.01,36.3,82.53,   7.78亿, 254.1亿,0.03,1439.01,-57.94
002502,骅威文化,7.14,12.75,17.53,9.96,13.66,76,  21.29亿, 511.1亿,0.06,468.32,-12.07
300106,西部牧业,7.13,15.57,20.5,10.99,16.68,86.53,  14.97亿, 228.4亿,0.03,711.97,-54.37
300326,凯利泰,7.1,12.12,15.49,9.62,12.98,61.02,  11.56亿, 240.3亿,0.03,198.48,-37.96
601688,华泰证券,7.05,18.29,23,12.38,19.58,85.78,  116.5亿,  2138亿,0.41,213.93,-30.16
000809,铁岭新城,7.04,5.4,6.15,3.77,5.78,63.13,  34.76亿, 171.3亿,0.02,421.42,-22.81
002738,中矿资源,7,26.43,31.9,14.81,28.28,115.39,   8.70亿, 233.0亿,0.03,968.43,-34.16
300241,瑞丰光电,6.97,16.22,19.47,9.78,17.35,99.08,  13.94亿, 214.7亿,0.03,852.36,-12.07
300038,梅泰诺,6.87,42.07,61.67,37.86,44.96,62.89,   6.93亿, 323.8亿,0.04,500.76,-53.54
603085,天成自控,6.86,47.25,58.16,27.4,50.49,112.26,   5.77亿, 242.4亿,0.05,2008.63,-59.93
600015,华夏银行,6.82,10.85,12.22,8.65,11.59,41.27,  91.00亿, 960.4亿,0.18,85.17,-19.05
002062,宏润建设,6.81,6.75,8.59,4.57,7.21,87.96,  24.01亿, 175.9亿,0.02,254.92,-32.99
600234,*ST山水,6.76,17.16,24.2,10.21,18.32,137.02,  21.98亿, 394.6亿,0.08,1085.8,-92.23
600187,国中水务,6.75,5.78,7.41,3.98,6.17,86.18,  136.2亿, 851.0亿,0.16,935.68,89.43
600310,桂东电力,6.71,10.58,13.48,5.85,11.29,130.43,  43.70亿, 389.0亿,0.07,527.95,-69.79
002483,润邦股份,6.59,11.53,14.06,9.38,12.29,49.89,  14.93亿, 174.5亿,0.02,415.69,-69.75
002431,棕榈股份,6.57,9.59,14.14,5.74,10.22,146.34,  129.4亿,  1994亿,0.24,1431.86,15.33
600771,广誉远,6.54,31.98,36.29,23.3,34.07,55.75,   6.11亿, 178.3亿,0.03,250.46,-59.49
002541,鸿路钢构,6.48,19.14,23.48,13.53,20.38,73.54,   7.99亿, 145.3亿,0.02,482.37,-35.37
600573,惠泉啤酒,6.47,14.38,19.65,11.05,15.31,77.83,  10.28亿, 150.0亿,0.03,411.34,-28.86
600066,宇通客车,6.46,19.67,23.98,16.01,20.94,49.78,  30.66亿, 633.5亿,0.12,161.06,50.21
000709,河钢股份,6.41,3.12,3.82,2.59,3.32,47.49,  322.1亿,  1026亿,0.12,303.34,2.81
002532,新界泵业,6.41,14.36,17.18,10.86,15.28,58.2,   9.60亿, 135.4亿,0.02,417.99,-70.81
300278,华昌达,6.4,18.6,24.07,12.3,19.79,95.69,  17.30亿, 306.8亿,0.04,773.74,-38.98
600885,宏发股份,6.39,29.91,36.92,18.35,31.82,101.2,   8.98亿, 257.0亿,0.05,168.87,12.07
002050,三花智控,6.37,9.73,11.77,6.03,10.35,95.19,  45.49亿, 411.5亿,0.05,299.81,-66.05
603328,依顿电子,6.34,30.76,36.95,19.3,32.71,91.45,  10.81亿, 302.2亿,0.06,1103,-44.55
600833,第一医药,6.32,17.87,24.23,13.37,19,81.23,  11.10亿, 198.4亿,0.04,497.34,5.24
600335,国机汽车,6.3,11.91,15.15,7.37,12.66,105.56,  20.68亿, 293.4亿,0.06,239.83,-64.14
300482,万孚生物,6.25,68.14,73.48,37.83,72.4,94.24,   3.73亿, 268.5亿,0.03,351.17,-46.11
002773,康弘药业,6.23,54.87,61.6,38.05,58.29,61.89,   2.16亿, 132.6亿,0.02,315.99,-63.53
603828,柯利达,6.19,23.11,27.48,17.16,24.54,60.14,   5.35亿, 146.6亿,0.03,889.46,-30.29
002748,世龙实业,6.17,18.97,26.03,12.16,20.14,114.06,  13.74亿, 322.4亿,0.04,1860.35,75.92
600383,金地集团,6.12,13.23,16.26,9.41,14.04,72.79,  83.49亿,  1077亿,0.2,185.49,0.95
600409,三友化工,6.12,7.68,8.92,5.24,8.15,70.23,  51.84亿, 391.2亿,0.07,280.18,-35.52
300103,达刚路机,6.12,20.92,30.55,13.38,22.2,128.33,  12.96亿, 263.0亿,0.03,1535.51,126.36
002164,宁波东力,6.1,9.51,12.45,8.34,10.09,49.28,  14.45亿, 147.5亿,0.02,348.66,-3.83
603806,福斯特,6.1,45.6,56.48,30.3,48.38,86.4,   7.69亿, 349.4亿,0.07,852.39,-63.89
600285,羚锐制药,6.03,11.94,13.66,8.55,12.66,59.77,  22.19亿, 250.6亿,0.05,414.38,-40.47
002295,精艺股份,6,16.18,23.75,11.39,17.15,108.52,  13.39亿, 224.3亿,0.03,733.4,-42.95
000707,双环科技,5.96,8.05,11,5.27,8.53,108.73,  42.09亿, 332.5亿,0.04,906.84,-70.49
000637,茂化实华,5.84,7.36,9.05,5.23,7.79,73.04,  39.58亿, 292.7亿,0.04,1080.09,1.89
002452,长高集团,5.84,9.08,13.26,7.96,9.61,66.58,  33.76亿, 368.8亿,0.04,985.19,-32.55
002700,新疆浩源,5.81,13.09,17.85,9.49,13.85,88.09,  13.26亿, 191.2亿,0.02,423.58,-47.98
300277,海联讯,5.79,12.43,19.94,9.18,13.15,117.21,  13.62亿, 252.3亿,0.03,407.51,16.67
600166,福田汽车,5.75,3.13,3.49,2.23,3.31,56.5,  132.4亿, 534.6亿,0.1,198.46,160.34
000668,荣丰控股,5.74,24.21,30.95,16.95,25.6,82.6,   7.28亿, 171.2亿,0.02,496.54,-76.46
600979,广安爱众,5.74,7.49,8.79,5,7.92,75.8,  26.31亿, 187.6亿,0.04,366.54,-39.99
600558,大西洋,5.73,5.41,6.69,3.66,5.72,82.79,  36.95亿, 231.9亿,0.04,445.87,260.09
600689,上海三毛,5.73,17.99,26.68,13.98,19.02,90.84,  27.10亿, 514.2亿,0.1,1780.48,-88.13
600148,长春一东,5.72,27.46,30.95,16.53,29.03,87.24,  10.28亿, 240.2亿,0.05,726.65,-24.76
600366,宁波韵升,5.71,20.13,26.49,13.45,21.28,96.95,  50.97亿,  1107亿,0.21,979.21,-70.92
600199,金种子酒,5.68,9.16,13.81,6.65,9.68,107.67,  34.95亿, 347.0亿,0.07,628.84,-4.68
603366,日出东方,5.65,10.09,11.26,6.48,10.66,73.77,  16.80亿, 154.6亿,0.03,210.06,-30.58
002630,华西能源,5.6,12.32,15.48,9.47,13.01,63.46,  24.05亿, 305.2亿,0.04,392.34,-18.69
603003,龙宇燃油,5.58,21.7,30.6,13.62,22.91,124.67,  11.98亿, 243.2亿,0.05,593,29.63
